Player,serveRating,1stServePct,1stServePointsWonPct,2ndServePointsWonPct,serviceGamesWonPct,avgAcesPerMatch,avgDblFaultsPerMatch
Stefan Edberg,268.5,61.50%,73.10%,51.80%,82.60%,3.2,3.7
Marc Rosset,268.5,56.40%,78.50%,47.40%,82.00%,9.5,5.3
Jan-Lennard Struff,268.3,55.90%,76.50%,49.80%,81.00%,8.9,3.8
Thanasi Kokkinakis,268.2,59.00%,74.60%,48.70%,80.70%,9.3,4.1
Tennys Sandgren,268.2,61.00%,73.50%,48.60%,79.40%,8.2,2.5
Alex de Minaur,268.1,60.50%,71.40%,54.00%,80.80%,4.1,2.7
Frank Dancevic,268.1,60.20%,72.70%,50.50%,78.60%,8.5,2.4
Dustin Brown,267.9,60.70%,73.60%,49.00%,80.50%,8.8,4.7
Luis Horna,267.8,67.40%,69.50%,49.90%,79.00%,4.7,2.7
Thiemo de Bakker,267.7,59.80%,72.60%,50.00%,79.00%,8.1,1.8
Guido Pella,267.6,65.20%,69.10%,52.20%,78.20%,5.2,2.3
Jacco Eltingh,267.5,62.10%,73.40%,48.50%,79.80%,7.6,3.9
Gregory Carraz,267.4,59.90%,75.80%,46.60%,80.80%,10.9,6.6
Juan Ignacio Londero,267.4,60.40%,70.20%,55.20%,80.00%,4.3,2.7
Horacio Zeballos,267.1,62.30%,70.80%,51.30%,79.40%,5.8,2.5
Igor Andreev,266.9,62.40%,70.40%,52.30%,79.50%,4.9,2.6
Jim Grabb,266.8,65.80%,72.30%,46.30%,79.50%,6.4,3.5
Alexei Popyrin,266.7,60.20%,73.20%,49.60%,79.50%,8.5,4.3
Kei Nishikori,266.5,61.20%,71.00%,53.10%,80.40%,3.4,2.6
Tim Henman,266.4,57.70%,74.40%,50.70%,81.20%,6,3.6
Ivan Navarro,266.4,61.00%,72.90%,49.00%,79.80%,6.9,3.2
Janko Tipsarevic,266.4,56.40%,73.60%,51.90%,80.10%,6.9,2.5
Ernesto Escobedo,266.3,55.30%,72.20%,54.70%,79.70%,7.4,3
Jamie Morgan,266.3,57.40%,75.40%,49.00%,79.60%,9,4.1
Pablo Cuevas,266.2,60.30%,71.70%,52.00%,79.10%,5.9,2.8
Bryan Shelton,266.2,58.10%,74.90%,49.00%,80.90%,8.6,5.3
Antony Dupuis,266.1,59.20%,72.10%,51.10%,79.10%,7.3,2.7
Thomas Johansson,266.1,53.30%,76.10%,50.70%,80.60%,8.3,2.9
Lucas Pouille,266.1,56.30%,73.50%,51.40%,80.80%,7.8,3.7
Potito Starace,266.1,72.40%,65.50%,51.00%,76.10%,2.5,1.4
Casper Ruud,266,65.30%,69.50%,50.90%,78.80%,4.3,2.8
Dick Norman,265.8,59.90%,73.80%,48.10%,79.90%,10,5.9
Tommy Robredo,265.8,64.80%,69.40%,51.80%,78.40%,3.7,2.3
Chuck Adams,265.7,64.30%,69.40%,51.40%,78.70%,4.3,2.4
Albert Costa,265.6,66.80%,67.60%,52.20%,77.60%,3.5,2.1
Ruben Bemelmans,265.5,64.20%,69.60%,50.20%,78.30%,6.3,3.1
Jan Siemerink,265.5,56.30%,74.90%,50.70%,81.50%,6.7,4.6
Austin Krajicek,265.4,61.20%,72.50%,49.10%,78.20%,8.1,3.7
MaliVai Washington,265.4,59.10%,72.10%,51.70%,80.20%,5.4,3.1
Dusan Lajovic,265.3,65.50%,68.20%,52.00%,77.60%,3.8,1.8
Sergiy Stakhovsky,265.2,62.00%,71.40%,49.40%,78.40%,6.6,2.6
Arvind Parmar,265.1,61.20%,72.20%,49.80%,78.00%,6.9,3
Rajeev Ram,265.1,60.60%,72.90%,48.50%,78.50%,7.5,2.9
Nicolas Thomann,265.1,55.90%,75.30%,51.20%,79.10%,7.1,3.5
Daniel Nestor,265,59.40%,75.20%,47.20%,80.50%,8.5,5.8
Benjamin Becker,264.8,56.60%,74.50%,49.70%,79.20%,7.7,2.9
Michiel Schapers,264.8,67.00%,69.70%,49.00%,78.60%,3.9,3.4
Alexandr Dolgopolov,264.7,54.60%,74.60%,51.30%,79.40%,7.6,2.8
Thomas Muster,264.7,61.70%,69.10%,53.70%,79.50%,3.1,2.4
Raemon Sluiter,264.7,58.70%,72.80%,50.70%,78.70%,7.2,3.4
Neil Borwick,264.5,64.60%,69.60%,49.70%,77.60%,5.6,2.6
James Blake,264.4,57.90%,72.60%,51.10%,79.70%,5.9,2.8
Robby Ginepri,264.4,62.40%,69.20%,51.70%,77.70%,5.7,2.3
David Wheaton,264.4,60.00%,73.70%,47.90%,79.40%,7.9,4.5
Nikolay Davydenko,264.3,66.90%,68.20%,51.20%,77.40%,3.2,2.6
John McEnroe,264.3,56.60%,75.30%,49.80%,81.10%,5.5,4
